Fe2+_PPM_DAY0_S.B1_Aug_AV1-W_G#33,Fe2+_PPM_DAY0_S.B1_Oct_AV1-W_G#33,Fe2+_PPM_DAY0_1xSx_AV1-W_G#33,Fe2+_PPM_DAY0_S.B1_Aug_AV1-W_G#31,Fe2+_PPM_DAY0_S.B1_Oct_AV1-W_G#31,Fe2+_PPM_DAY0_1xSx_AV1-W_G#31,Fe2+_PPM_DAY0_S.B1_Aug_Sterile,Fe2+_PPM_DAY0_S.B1_Oct_Sterile,Fe2+_PPM_DAY0_1xSx_Sterile,Fe2+_PPM_DAY0_S.B1_Aug_MMC,Fe2+_PPM_DAY0_S.B1_Oct_MMC,Fe2+_PPM_DAY0_1xSx_MMC,Fe2+_PPM_DAY4_S.B1_Aug_AV1-W_G#33,Fe2+_PPM_DAY4_S.B1_Oct_AV1-W_G#33,Fe2+_PPM_DAY4_1xSx_AV1-W_G#33,Fe2+_PPM_DAY4_S.B1_Aug_AV1-W_G#31,Fe2+_PPM_DAY4_S.B1_Oct_AV1-W_G#31,Fe2+_PPM_DAY4_1xSx_AV1-W_G#31,Fe2+_PPM_DAY4_S.B1_Aug_Sterile,Fe2+_PPM_DAY4_S.B1_Oct_Sterile,Fe2+_PPM_DAY4_1xSx_Sterile,Fe2+_PPM_DAY4_S.B1_Aug_MMC,Fe2+_PPM_DAY4_S.B1_Oct_MMC,Fe2+_PPM_DAY4_1xSx_MMC,Fe2+_PPM_DAY7_S.B1_Aug_AV1-W_G#33,Fe2+_PPM_DAY7_S.B1_Oct_AV1-W_G#33,Fe2+_PPM_DAY7_1xSx_AV1-W_G#33,Fe2+_PPM_DAY7_S.B1_Aug_AV1-W_G#31,Fe2+_PPM_DAY7_S.B1_Oct_AV1-W_G#31,Fe2+_PPM_DAY7_1xSx_AV1-W_G#31,Fe2+_PPM_DAY7_S.B1_Aug_Sterile,Fe2+_PPM_DAY7_S.B1_Oct_Sterile,Fe2+_PPM_DAY7_1xSx_Sterile,Fe2+_PPM_DAY7_S.B1_Aug_MMC,Fe2+_PPM_DAY7_S.B1_Oct_MMC,Fe2+_PPM_DAY7_1xSx_MMC
1.384087537,#VALUE!,#VALUE!,1.373330861,0.709940653,0.740170623,1.224777448,0.621476261,0.650408012,1.285608309,0.617210682,0.631862018,1.021142433,#VALUE!,#VALUE!,0.973479228,0.462908012,0.789873887,1.308976261,0.652077151,0.668397626,0.986090504,0.401335312,0.627781899,0.335126113,#VALUE!,#VALUE!,0.386498516,0.101075668,0.740912463,1.193434718,0.62611276,0.650593472,0.120919881,0.118137982,0.079005935
1.401706231,0.752225519,#VALUE!,1.391320475,0.711795252,0.74944362,1.293026706,0.633160237,0.649109792,1.288575668,0.617581602,0.660979228,1.004451039,0.440838279,#VALUE!,1.06268546,0.456045994,0.815096439,1.321587537,0.634458457,0.693620178,1.191951039,0.381491098,0.543768546,0.316765579,0.15485905,#VALUE!,0.346624629,0.098479228,0.793768546,1.332158754,0.626669139,0.704005935,0.075667656,0.082529674,0.118694362
NA,0.71902819,0.730526706,1.378338279,0.716988131,0.773367953,1.233679525,0.618508902,0.654673591,1.348479228,0.641505935,0.666172107,#VALUE!,0.426186944,0.78060089,1.066394659,0.5009273,0.790430267,1.327151335,0.628338279,0.672477745,1.130749258,0.331973294,0.667099407,#VALUE!,0.099777448,0.770215134,0.382603858,0.098664688,0.760385757,1.324740356,0.622032641,0.662462908,0.100890208,0.086238872,0.090504451
NA,0.734792285,0.837537092,1.358494065,0.733494065,0.797663205,1.293768546,0.62518546,0.683234421,1.305637982,0.634087537,0.898738872,#VALUE!,0.466431751,1.12555638,1.084569733,0.489799703,0.81287092,1.318063798,0.62611276,0.68824184,1.066023739,0.559532641,0.713649852,#VALUE!,0.101075668,0.897811573,0.387240356,0.100704748,0.730526706,1.340504451,0.637425816,0.684161721,0.072143917,0.089206231,0.727188427
